Descricao;Valor
Computador Gamer Amd Ryzen 5 5600x, Rtx 3060 12gb, Ram 16gb, Hd 1tb, Ssd 120gb;['12.299,99']
Notebook Dell Gamer ,15.6 Fhd 120hz, I7 10750h, 32gb, Ssd 512gb, Geforce Rtx 2060, Win 10, G3-3500;['12.679,99']
Notebook Dell Gamer G3, Tela 15.6 Full Hd 144hz, I7 10750h, 32gb, Ssd 1tb, Geforce Rtx 2060;['14.019,99']
Notebook Dell Gamer G3-3500-m40p - 15.6 Fhd 120hz, I7 10750h, 16gb, Ssd 512gb, Geforce Rtx 2060;['10.659,99']
Pc Gamer Fácil Asus Prime B450m Amd Ryzen 5 3600x 16gb Ddr4 Hd 1tb Geforce Rtx 3060 12gb - 750w;['9.933,00']
Placa De Vídeo Geforce RTX 3070 8GB, Twin Edge LHR, GDDR6, Zotac  - ZT-A30700E-10PLHR;['8.433,99']
Pc Gamer Fácil Asus Intel Core I7 9700f 16gb Ddr4 Ssd 960gb Geforce Rtx 3060 12gb - 750w;['11.729,00']
Pc Gamer Fácil Asus Intel Core I7 9700f 16gb Ddr4 Ssd 480gb Geforce Rtx 3060 12gb - 750w;['11.379,00']
Pc Gamer Fácil Asus Intel Core I7 9700f 16gb Ddr4 Hd 2tb Geforce Rtx 3060 12gb - 750w;['11.319,00']
Pc Gamer Fácil Asus Intel Core I7 9700f 16gb Ddr4 Ssd 240gb Geforce Rtx 3060 12gb - 750w;['11.199,00']
Pc Gamer Fácil Asus Intel Core I7 9700f, 16GB DDR4, HD 1TB, Geforce Rtx 3060 12gb - 750W;['10.039,00']
Placa de Video Asus Geforce Ko Rtx 3070 V2, Gaming Oc, 8gb, Gddr6, LHR - Ko-rtx3070-o8g-v2;['10.100,00']
Computador Gamer Overclock Extreme Ryzen 5600x, Rtx 3060, 16gb Ddr4, M.2 1tb;['20.478,00']
Placa de Vídeo PCYES NVIDIA GeForce RTX 3060 Ti, RGB, 8GB GDDR6, LHR, DLSS, Ray Tracing - PP3060TI8DR6256 / 37028;['6.328,90']
Placa De Vídeo Asus Geforce RTX 3070, Rog Strix V2 Lhr Oc, 8GB, GDDR6 - Rog-strix-rtx3070-o8g-v2-gaming;['10.043,40']
Placa De Vídeo Asus Geforce RTX 3070, Tuf Gaming Oc V2 LHR, 8GB, DDR6 - Tuf-rtx3070-o8g-v2-gaming;['10.043,40']
Placa De Vídeo Pny Rtx 3060, Revel Epic-x Rgb, 12gb, Gddr6, 192-bit, Single Fan - Vcg306012sfxppb;['10.250,83']
Placa De Vídeo Palit Geforce RTX 3070 Gamerock, 8GB, GDDR6;['13.966,00']
Placa de Video Galax GeForce RTX 3080 Ti HOF 12GB GDDR6X 384 bit - 38IOM5MD3BHX;['17.468,55']
Placa de Vídeo Asus NVIDIA TUF RTX 3090, 24GB, GDDR6X - TUF-RTX3090-O24G-GAMING;['---']
Computador Gamer Skul 3000 Intel Core i3-9100F, 8GB, HD 1TB, GTX 750TI 2GB, Linux - 33291;['---']
PC Gamer Skul 3000 Intel Core i3-9100F, 8GB, SSD 240GB, GTX 1050TI 4GB, Linux - 33288;['---']
